Date,Open,High,Low,Close,Adj Close,Volume,Symbol
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
2024-12-04,19587.48046875,19741.759765625,19575.400390625,19735.119140625,19735.119140625,7870030000,^IXIC
2024-12-05,19756.400390625,19790.029296875,19688.58984375,19700.259765625,19700.259765625,7229510000,^IXIC
2024-12-06,19743.9609375,19863.150390625,19734.419921875,19859.76953125,19859.76953125,6787610000,^IXIC
2024-12-09,19824.08984375,19872.7890625,19698.05078125,19736.689453125,19736.689453125,7884620000,^IXIC
2024-12-10,19796.390625,19887.080078125,19641.33984375,19687.240234375,19687.240234375,6843850000,^IXIC
2024-12-11,19832.9609375,20055.9296875,19830.640625,20034.890625,20034.890625,6639720000,^IXIC
2024-12-12,19947.33984375,20018.240234375,19897.380859375,19902.83984375,19902.83984375,7047550000,^IXIC
2024-12-13,19995.1796875,20061.650390625,19817.470703125,19926.720703125,19926.720703125,6028250000,^IXIC
2024-12-16,20016.119140625,20204.580078125,19988.119140625,20173.890625,20173.890625,8855040000,^IXIC
2024-12-17,20095.619140625,20148.830078125,20004.73046875,20109.060546875,20109.060546875,9534350000,^IXIC
2024-12-18,20114.98046875,20179.76953125,19336.58984375,19392.689453125,19392.689453125,9996120000,^IXIC
2024-12-19,19565.66015625,19623.01953125,19357.759765625,19372.76953125,19372.76953125,8029590000,^IXIC
2024-12-20,19190.0390625,19758.609375,19168.380859375,19572.599609375,19572.599609375,10962450000,^IXIC
2024-12-23,19641.05078125,19772.099609375,19504.6796875,19764.880859375,19764.880859375,6820720000,^IXIC
2024-12-24,19818.48046875,20031.130859375,19813.759765625,20031.130859375,20031.130859375,4739190000,^IXIC
2024-12-26,19979.25,20070.080078125,19888.109375,20020.359375,20020.359375,6467910000,^IXIC
2024-12-27,19896.76953125,19904.76953125,19553.400390625,19722.029296875,19722.029296875,7765120000,^IXIC
2024-12-30,19460.41015625,19622.9296875,19342.509765625,19486.7890625,19486.7890625,8384090000,^IXIC
2024-12-31,19551.359375,19563.720703125,19283.41015625,19310.7890625,19310.7890625,8873030000,^IXIC
2025-01-02,19403.900390625,19517.869140625,19117.58984375,19280.7890625,19280.7890625,8737550000,^IXIC
2025-01-03,19395.509765625,19638.66015625,19379.5703125,19621.6796875,19621.6796875,8214050000,^IXIC
2025-01-06,19851.990234375,20007.94921875,19785.0,19864.98046875,19864.98046875,9586840000,^IXIC
2025-01-07,19938.080078125,19940.2109375,19421.01953125,19489.6796875,19489.6796875,13371130000,^IXIC
2025-01-08,19469.369140625,19544.509765625,19308.5390625,19478.880859375,19478.880859375,8851720000,^IXIC
2025-01-10,19312.259765625,19315.109375,19018.75,19161.630859375,19161.630859375,8608880000,^IXIC
2025-01-13,18903.66015625,19099.970703125,18831.91015625,19088.099609375,19088.099609375,7830760000,^IXIC
2025-01-14,19207.75,19273.140625,18926.599609375,19044.390625,19044.390625,7168110000,^IXIC
2025-01-15,19350.310546875,19548.900390625,19299.3203125,19511.23046875,19511.23046875,7260250000,^IXIC
2025-01-16,19573.869140625,19579.849609375,19335.6796875,19338.2890625,19338.2890625,7085990000,^IXIC
2025-01-17,19655.55078125,19709.640625,19543.3203125,19630.19921875,19630.19921875,7996360000,^IXIC
2025-01-21,19734.390625,19789.630859375,19551.169921875,19756.779296875,19756.779296875,8015780000,^IXIC
2025-01-22,19903.05078125,20068.51953125,19903.05078125,20009.33984375,20009.33984375,7219060000,^IXIC
2025-01-23,19906.990234375,20053.6796875,19892.55078125,20053.6796875,20053.6796875,6837700000,^IXIC
2025-01-24,20087.109375,20118.609375,19897.130859375,19954.30078125,19954.30078125,7708150000,^IXIC
2025-01-27,19234.0390625,19514.349609375,19204.94921875,19341.830078125,19341.830078125,8870200000,^IXIC
2025-01-28,19418.220703125,19759.4296875,19294.619140625,19733.58984375,19733.58984375,7121740000,^IXIC
2025-01-29,19695.6796875,19699.8203125,19479.509765625,19632.3203125,19632.3203125,6497710000,^IXIC
2025-01-30,19697.529296875,19785.7890625,19483.830078125,19681.75,19681.75,6679500000,^IXIC
2025-01-31,19832.330078125,19969.169921875,19575.2109375,19627.439453125,19627.439453125,7947370000,^IXIC
2025-02-03,19215.380859375,19502.130859375,19141.150390625,19391.9609375,19391.9609375,8272460000,^IXIC
2025-02-04,19422.169921875,19666.439453125,19408.1796875,19654.01953125,19654.01953125,6477050000,^IXIC
2025-02-05,19533.05078125,19696.939453125,19498.900390625,19692.330078125,19692.330078125,6712220000,^IXIC
2025-02-06,19725.830078125,19793.359375,19654.109375,19791.990234375,19791.990234375,6642100000,^IXIC
2025-02-07,19774.869140625,19862.5390625,19489.359375,19523.400390625,19523.400390625,7748940000,^IXIC
2025-02-10,19668.1796875,19772.0390625,19650.7890625,19714.26953125,19714.26953125,9535440000,^IXIC
2025-02-11,19602.109375,19731.9296875,19579.76953125,19643.859375,19643.859375,9269380000,^IXIC
2025-02-12,19436.509765625,19682.509765625,19415.48046875,19649.94921875,19649.94921875,7946550000,^IXIC
2025-02-13,19696.919921875,19952.169921875,19675.869140625,19945.640625,19945.640625,8414510000,^IXIC
2025-02-14,19956.8203125,20045.759765625,19932.150390625,20026.76953125,20026.76953125,7995720000,^IXIC
2025-02-18,20090.55078125,20110.119140625,19909.740234375,20041.259765625,20041.259765625,8683170000,^IXIC
2025-02-19,19994.5,20099.390625,19928.890625,20056.25,20056.25,8171530000,^IXIC
2025-02-20,20029.189453125,20041.150390625,19795.01953125,19962.359375,19962.359375,7329270000,^IXIC
2025-02-21,20006.689453125,20016.66015625,19510.91015625,19524.009765625,19524.009765625,8461020000,^IXIC
2025-02-24,19590.849609375,19644.23046875,19275.4609375,19286.9296875,19286.9296875,7414760000,^IXIC
2025-02-25,19242.609375,19256.349609375,18871.51953125,19026.390625,19026.390625,7991440000,^IXIC
2025-02-26,19109.3203125,19286.01953125,18966.4609375,19075.259765625,19075.259765625,7034450000,^IXIC
2025-02-27,19212.359375,19242.689453125,18535.220703125,18544.419921875,18544.419921875,7700290000,^IXIC
2025-02-28,18477.169921875,18861.330078125,18372.990234375,18847.279296875,18847.279296875,8247520000,^IXIC
2025-03-03,18923.359375,18992.30078125,18216.630859375,18350.189453125,18350.189453125,8170140000,^IXIC
2025-03-04,18176.4296875,18589.490234375,17956.599609375,18285.16015625,18285.16015625,8469180000,^IXIC
2025-03-05,18312.970703125,18604.470703125,18144.73046875,18552.73046875,18552.73046875,7048430000,^IXIC
2025-03-06,18204.529296875,18439.240234375,17980.390625,18069.259765625,18069.259765625,7686200000,^IXIC
2025-03-07,18029.849609375,18243.580078125,17768.58984375,18196.220703125,18196.220703125,8135420000,^IXIC
2025-03-10,17840.3203125,17868.080078125,17291.8203125,17468.3203125,17468.3203125,8636040000,^IXIC
