date,symbol,open,high,low,close,change,volume
2025-01-14,BTC-USD,94519.0078125,97352.6640625,94322.15625,96534.046875,2.1345722040169157,53769675818
2025-01-15,BTC-USD,96534.046875,100697.234375,96501.640625,100504.4921875,4.11299996325778,57805923627
2025-01-16,BTC-USD,100505.296875,100781.5859375,97364.4453125,99756.90625,-0.7438333563293043,54103781805
2025-01-17,BTC-USD,100025.765625,105884.2265625,99948.90625,104462.0390625,4.716598568833419,71888972663
2025-01-18,BTC-USD,104124.953125,104913.203125,102226.6171875,104408.0703125,-0.051663504258914195,50445655726
2025-01-19,BTC-USD,104411.2890625,106299.796875,99570.53125,101089.609375,-3.1783567377192568,76789928525
2025-01-20,BTC-USD,101083.75,109114.8828125,99471.359375,102016.6640625,0.9170622908047932,126279678351
2025-01-21,BTC-USD,102052.578125,107180.921875,100103.953125,106146.265625,4.047967653568851,88733878242
2025-01-22,BTC-USD,106136.3828125,106294.34375,103360.265625,103653.0703125,-2.3488299826845638,53878181052
2025-01-23,BTC-USD,103657.671875,106820.328125,101257.8046875,103960.171875,0.2962783076025932,104104515428
2025-01-24,BTC-USD,103965.671875,107098.546875,102772.125,104819.484375,0.8265785680243276,52388229265
2025-01-25,BTC-USD,104824.03125,105243.7890625,104120.375,104714.6484375,-0.10001569662844156,23888996502
2025-01-26,BTC-USD,104713.2109375,105438.6484375,102507.7109375,102682.5,-1.9406534499448846,22543395879
2025-01-27,BTC-USD,102680.3046875,103214.109375,97795.9375,102087.6875,-0.5792734886665207,89006608428
2025-01-28,BTC-USD,102095.4140625,103730.8203125,100238.1875,101332.4765625,-0.7397669160641884,47180685494
2025-01-29,BTC-USD,101317.5234375,104750.8046875,101283.8203125,103703.2109375,2.3395602825692086,47432049818
2025-01-30,BTC-USD,103709.3359375,106418.765625,103321.6484375,104735.3046875,0.9952379879751394,41915744521
2025-01-31,BTC-USD,104737.5625,106026.3515625,101543.8828125,102405.0234375,-2.2249243050878498,45732764360
2025-02-01,BTC-USD,102402.796875,102755.7265625,100297.7109375,100655.90625,-1.7080384621634526,27757944848
2025-02-02,BTC-USD,100661.5390625,101430.6640625,96216.078125,97688.9765625,-2.947596219670423,63091816853
2025-02-03,BTC-USD,97681.1015625,102514.171875,91242.890625,101405.421875,3.804365081173988,115400897748
2025-02-04,BTC-USD,101398.71875,101745.6171875,96208.109375,97871.8203125,-3.4846278405663456,73002130211
2025-02-05,BTC-USD,97878.0078125,99113.2109375,96174.828125,96615.4453125,-1.2836943218062724,49125911241
2025-02-06,BTC-USD,96610.640625,99168.609375,95707.3515625,96593.296875,-0.022924323774897726,45302471947
2025-02-07,BTC-USD,96581.3203125,100154.140625,95653.8828125,96529.0859375,-0.06647556256734743,55741290456
2025-02-08,BTC-USD,96533.2578125,96877.8046875,95702.4921875,96482.453125,-0.04830959709924976,22447526395
2025-02-09,BTC-USD,96481.3125,97325.28125,94745.2578125,96500.09375,0.018283765004545316,27732901800
2025-02-10,BTC-USD,96499.4609375,98333.21875,95320.84375,97437.5546875,0.9714611676219231,40078962391
2025-02-11,BTC-USD,97438.1328125,98492.8984375,94875.0390625,95747.4296875,-1.7345724709743937,37488783272
2025-02-12,BTC-USD,95745.6953125,98151.0234375,94101.203125,97885.859375,2.233406885677658,49340445530
2025-02-13,BTC-USD,97888.75,98111.0859375,95269.7109375,96623.8671875,-1.2892487184132717,37147280860
2025-02-14,BTC-USD,96623.3671875,98819.46875,96342.8046875,97508.96875,0.9160278803397981,32697987277
2025-02-15,BTC-USD,97508.3828125,97975.0390625,97240.1953125,97580.3515625,0.07320640697474623,17047266288
2025-02-16,BTC-USD,97580.4921875,97725.59375,96060.9765625,96175.03125,-1.4401672980240199,16536755396
2025-02-17,BTC-USD,96179.0078125,97032.234375,95243.546875,95773.3828125,-0.41762236235300954,27336550690
2025-02-18,BTC-USD,95773.8125,96695.375,93388.8359375,95539.546875,-0.24415545387781457,37325720482
2025-02-19,BTC-USD,95532.53125,96855.59375,95011.96875,96635.609375,1.1472343504350446,28990872862
2025-02-20,BTC-USD,96632.6796875,98767.1953125,96442.671875,98333.9375,1.7574558032842136,31668022771
2025-02-21,BTC-USD,98340.671875,99497.96875,94852.9609375,96125.546875,-2.245807176184722,49608706470
2025-02-22,BTC-USD,96134.203125,96950.15625,95765.34375,96577.7578125,0.47043783073406065,18353824477
2025-02-23,BTC-USD,96577.8046875,96671.875,95270.453125,96273.921875,-0.31460239332733453,16999478976
2025-02-24,BTC-USD,96277.9609375,96503.453125,91371.7421875,91418.171875,-5.043681513571874,44046480529
2025-02-25,BTC-USD,91437.1171875,92511.078125,86008.234375,88736.171875,-2.9337712021491935,92139104128
2025-02-26,BTC-USD,88638.890625,89286.25,82131.8984375,84347.0234375,-4.94629004695274,64597492134
2025-02-27,BTC-USD,84076.859375,87000.78125,83144.9609375,84704.2265625,0.4234922709094535,52659591954
2025-02-28,BTC-USD,84705.625,85036.3203125,78248.9140625,84373.0078125,-0.3910297790814532,83610570576
2025-03-01,BTC-USD,84373.8671875,86522.3046875,83794.234375,86031.9140625,1.9661575342751147,29190628396
2025-03-02,BTC-USD,86036.2578125,95043.4375,85040.2109375,94248.3515625,9.550452979612857,58398341092
2025-03-03,BTC-USD,94248.421875,94429.75,85081.3046875,86065.671875,-8.682040111941614,70072228536
2025-03-04,BTC-USD,86064.0703125,88911.2734375,81529.2421875,87222.1953125,1.3437685575495406,68095241474
2025-03-05,BTC-USD,87222.953125,90998.2421875,86379.7734375,90623.5625,3.899657851208138,50498988027
2025-03-06,BTC-USD,90622.359375,92804.9375,87852.140625,89961.7265625,-0.7303133084179958,47749810486
2025-03-07,BTC-USD,89963.28125,91191.046875,84717.6796875,86742.671875,-3.57824911826653,65945677657
2025-03-08,BTC-USD,86742.65625,86847.265625,85247.484375,86154.59375,-0.6779571257010009,18206118081
2025-03-09,BTC-USD,86154.3046875,86471.1328125,80052.484375,80601.0390625,-6.44603432710168,30899345977
2025-03-10,BTC-USD,80597.1484375,83955.9296875,77420.59375,78532.0,-2.567012890361897,54061099422
2025-03-11,BTC-USD,78523.875,83577.7578125,76624.25,82862.2109375,5.513944554449135,54702837196
2025-03-12,BTC-USD,82857.375,84358.578125,80635.25,83722.359375,1.0380466895202334,40353484454
2025-03-13,BTC-USD,83724.921875,84301.6953125,79931.8515625,81066.703125,-3.17197970748182,31412940153
2025-03-14,BTC-USD,81066.9921875,85263.2890625,80797.5625,83969.1015625,3.580259620308812,29588112414
2025-03-15,BTC-USD,83968.40625,84672.671875,83639.59375,84343.109375,0.44541123525254633,13650491277
2025-03-16,BTC-USD,84333.3203125,85051.6015625,82017.90625,82579.6875,-2.0907717157540473,21330270174
2025-03-17,BTC-USD,82576.3359375,84725.328125,82492.15625,84075.6875,1.8115835083536647,25092785558
2025-03-18,BTC-USD,84075.71875,84075.71875,81179.9921875,82718.5,-1.6142449028442418,24095774594
2025-03-19,BTC-USD,82718.8046875,87021.1875,82569.7265625,86854.2265625,4.9997601050550955,34931960257
2025-03-20,BTC-USD,86872.953125,87443.265625,83647.1953125,84167.1953125,-3.093725379117185,29028988961
2025-03-21,BTC-USD,84164.5390625,84782.2734375,83171.0703125,84043.2421875,-0.14727011460912154,19030452299
2025-03-22,BTC-USD,84046.2578125,84513.875,83674.78125,83832.484375,-0.25077306278807887,9863214091
2025-03-23,BTC-USD,83831.8984375,86094.78125,83794.9140625,86054.375,2.6503933905394295,12594615537
2025-03-24,BTC-USD,86070.9296875,88758.7265625,85541.1953125,87498.9140625,1.6786352378946434,34582604933
2025-03-25,BTC-USD,87512.8203125,88542.3984375,86346.078125,87471.703125,-0.031098600241552532,30005840049
2025-03-26,BTC-USD,87460.234375,88292.15625,85861.453125,86900.8828125,-0.652577110204744,26704046038
2025-03-27,BTC-USD,86896.2578125,87786.7265625,85837.9375,87177.1015625,0.3178549412391707,24413471941
2025-03-28,BTC-USD,87185.234375,87489.859375,83557.640625,84353.1484375,-3.2393289916566204,34198619509
2025-03-29,BTC-USD,84352.0703125,84567.3359375,81634.140625,82597.5859375,-2.0812056603918605,16969396135
2025-03-30,BTC-USD,82596.984375,83505.0,81573.25,82334.5234375,-0.3184869109843613,14763760943
2025-03-31,BTC-USD,82336.0625,83870.125,81293.890625,82548.9140625,0.26038970780313253,29004228247
2025-04-01,BTC-USD,82551.921875,85487.3671875,82429.359375,85169.171875,3.17418810684309,28175650319
2025-04-02,BTC-USD,85180.609375,88466.953125,82343.5390625,82485.7109375,-3.1507420800550134,47584398470
2025-04-03,BTC-USD,82487.4765625,83909.296875,81282.1015625,83102.828125,0.7481504135517403,36852112080
2025-04-04,BTC-USD,83100.25,84696.1484375,81670.75,83843.8046875,0.8916382019940938,45157640207
2025-04-05,BTC-USD,83844.703125,84207.015625,82377.734375,83504.796875,-0.4043325726492686,14380803631
2025-04-06,BTC-USD,83504.5078125,83704.71875,77097.7421875,78214.484375,-6.3353396427263675,36294853736
2025-04-07,BTC-USD,78221.3359375,81119.0625,74436.6796875,79235.3359375,1.305195029613082,91262424987
2025-04-08,BTC-USD,79218.4765625,80823.890625,76198.0234375,76271.953125,-3.739976334343409,48314590749
2025-04-09,BTC-USD,76273.5625,83541.0,74589.671875,82573.953125,8.26253916648998,84213627038
2025-04-10,BTC-USD,82565.9765625,82700.9296875,78456.1328125,79626.140625,-3.56990599146636,44718000633
2025-04-11,BTC-USD,79625.046875,84247.4765625,78936.3203125,83404.8359375,4.745546227457886,41656778779
2025-04-12,BTC-USD,83404.515625,85856.1875,82769.375,85287.109375,2.256791727173346,24258059104
2025-04-13,BTC-USD,85279.46875,86015.1875,83027.0078125,83684.9765625,-1.878516957885823,28796984817
2025-04-14,BTC-USD,83694.5234375,85785.0,83690.640625,84542.390625,1.0245734631468162,34090769777
2025-04-15,BTC-USD,84539.6953125,86429.3515625,83598.8203125,83668.9921875,-1.033089354397465,28040322885
2025-04-16,BTC-USD,83674.5078125,85428.28125,83100.6171875,84033.8671875,0.4360934564412222,29617804112
2025-04-17,BTC-USD,84030.671875,85449.0703125,83749.75,84895.75,1.025637449930672,21276866029
2025-04-18,BTC-USD,84900.1875,85095.046875,84298.8828125,84450.8046875,-0.5241078764249063,12728372364
