2025-09-29 07:14:35.792 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.792 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.792 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: ^TWII, 時間框架: daily
2025-09-29 07:14:35.793 | INFO     | strategies.bigline_strategy:backtest:34 - ^TWII 非主要交易標的，跳過回測
2025-09-29 07:14:35.802 | INFO     | market_analyst:analyze_market:91 - ^TWII 市場分析完成
2025-09-29 07:14:35.803 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:35.813 | ERROR    | strategies.technical_strategy:backtest:189 - 0050.TW daily 回測失敗: module 'datetime' has no attribute 'today'
2025-09-29 07:14:35.816 | INFO     | strategies.ml_strategy:backtest:54 - 0050.TW 特徵工程前數據長度: 242
2025-09-29 07:14:35.817 | INFO     | strategies.ml_strategy:backtest:56 - 0050.TW 特徵工程後數據長度: 241
2025-09-29 07:14:35.870 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:35.870 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:35.871 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:35.872 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.175 | INFO     | strategies.ml_strategy:backtest:110 - 0050.TW 信號分佈: {-1: 195, 1: 46}
2025-09-29 07:14:36.175 | INFO     | strategies.ml_strategy:backtest:111 - 0050.TW 回報標準差: 0.014
2025-09-29 07:14:36.176 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 0050.TW, 時間框架: daily
2025-09-29 07:14:36.184 | ERROR    | strategies.bigline_strategy:backtest:133 - 0050.TW daily 回測失敗: "None of ['date'] are in the columns"
2025-09-29 07:14:36.184 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 0050.TW, 時間框架: daily
